name,oracle_text,scryfall_link,image_src,chinese_simplified,chinese_traditional,french,german,italian,japanese,korean,portuguese,russian,spanish
Cathar's Companion,"Cathar's Companion	{2}{W}
Creature — Dog
Whenever you cast a noncreature spell, this creature gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)
3/1
",https://scryfall.com/card/iko/11/cathars-companion,https://cards.scryfall.io/large/front/0/2/0291a964-1117-4fbd-9193-9719b273c348.jpg?1600696143,护教军之伴,護教軍之伴,Compagnon du cathare,Gefährte des Katharers,Compagno del Cataro,聖戦士の相棒,성전사의 친구,Companheira do Cátaro,Спутник Катара,Compañero del cátaro
Chaplain's Blessing,"Chaplain's Blessing	{W}
Sorcery
You gain 5 life.

",https://scryfall.com/card/iko/12/chaplains-blessing,https://cards.scryfall.io/large/front/f/7/f70ea481-1751-4097-af41-2d13fe79e788.jpg?1576383706,教士祝福,教士祝福,Bénédiction de l'aumônière,Segen der Kaplanin,Benedizione della Cappellana,司祭の祈り,사제의 축복,Bênção da Capelã,Благословение Капеллана,Bendición de capellana
Dauntless Cathar,"Dauntless Cathar	{2}{W}
Creature — Human Soldier
{1}{W}, Exile this card from your graveyard: Create a 1/1 white Spirit creature token with flying. Activate only as a sorcery.
3/2
",https://scryfall.com/card/iko/13/dauntless-cathar,https://cards.scryfall.io/large/front/b/6/b680d42c-8198-43b0-b934-2add08a02bbc.jpg?1736467496,不屈护教军,不屈護教軍,Cathare intrépide,Furchtlose Katharerin,Catara Intrepida,不屈の聖戦士,불굴의 성전사,Cátaro Destemido,Храбрый Катар,Cátara intrépida
Declaration in Stone,"Declaration in Stone	{1}{W}
Sorcery
Exile target creature and all other creatures its controller controls with the same name as that creature. That player investigates for each nontoken creature exiled this way.

",https://scryfall.com/card/iko/14/declaration-in-stone,https://cards.scryfall.io/large/front/6/f/6f5513a2-e63d-44df-b8a5-37c298e38e3c.jpg?1697357006,铸石以告,鑄石以告,Déclaration dans la pierre,Verkündung in Stein,Dichiarazione nella Pietra,石の宣告,암석 포고문,Declaração em Pedra,Заявление в Камне,Declaración en piedra
Descend upon the Sinful,"Descend upon the Sinful	{4}{W}{W}
Sorcery
Exile all creatures.
Delirium — Create a 4/4 white Angel creature token with flying if there are four or more card types among cards in your graveyard.

",https://scryfall.com/card/iko/15/descend-upon-the-sinful,https://cards.scryfall.io/large/front/8/3/83245e11-a020-4d81-9d83-e1505f1d125e.jpg?1712354076,天降惩恶,天降懲惡,Fondre sur les pêcheurs,Sturzflug auf die Sünder,Abbattersi sui Peccatori,罪人への急襲,죄인 처단,Cair sobre os Pecadores,Нападение на Грешников,Descender sobre los pecadores
Devilthorn Fox,"Devilthorn Fox	{1}{W}
Creature — Fox

3/1
",https://scryfall.com/card/iko/16/devilthorn-fox,https://cards.scryfall.io/large/front/5/7/57bea4c2-7a15-4f31-938d-c4c906e4ebe7.jpg?1576383733,魔荆狐,魔荊狐,Renard de Diablépine,Teufelsdorn-Fuchs,Volpe di Spina del Diavolo,悪魔の棲家の狐,악령가시 여우,Raposa de Espinho do Diabo,Лис Чертова Шипа,Zorro de Espina del Diablo
Drogskol Cavalry,"Drogskol Cavalry	{5}{W}{W}
Creature — Spirit Knight
Flying
Whenever another Spirit you control enters, you gain 2 life.
{3}{W}: Create a 1/1 white Spirit creature token with flying.
4/4
",https://scryfall.com/card/iko/17/drogskol-cavalry,https://cards.scryfall.io/large/front/4/6/46c262c8-9daa-4ed8-b519-11b5895de89f.jpg?1576383739,卓兹克骑兵,卓茲克騎兵,Cavalerie du drogskol,Drogskol-Kavallerie,Cavalleria di Drogskol,ドラグスコルの騎兵,드로그스콜 기병대,Cavalaria Drogskol,Дрогсколские Всадники,Caballería de Drogskol
Eerie Interlude,"Eerie Interlude	{2}{W}
Instant
Exile any number of target creatures you control. Return those cards to the battlefield under their owner's control at the beginning of the next end step.

",https://scryfall.com/card/iko/18/eerie-interlude,https://cards.scryfall.io/large/front/4/b/4ba9f15f-00d2-4797-9228-91b320e85705.jpg?1631233963,神秘插曲,神秘插曲,Interlude inquiétant,Schauriges Intermezzo,Interludio Inquietante,奇妙な幕間,오싹한 전주곡,Interlúdio Espectral,Жуткая Интерлюдия,Interludio siniestro
Emissary of the Sleepless,"Emissary of the Sleepless	{4}{W}
Creature — Spirit
Flying
When this creature enters, if a creature died this turn, create a 1/1 white Spirit creature token with flying.
2/4
",https://scryfall.com/card/iko/19/emissary-of-the-sleepless,https://cards.scryfall.io/large/front/c/c/cc5fa496-a830-4031-a19a-d6467d074ad1.jpg?1576383751,不眠者密使,不眠者密使,Émissaire des éveillés,Gesandte der Schlaflosen,Emissaria degli Insonni,眠れぬ者の使者,불면의 사절,Emissário dos Insones,Посланница Неспящих,Emisaria de los insomnes
Ethereal Guidance,"Ethereal Guidance	{2}{W}
Sorcery
Creatures you control get +2/+1 until end of turn.

",https://scryfall.com/card/iko/20/ethereal-guidance,https://cards.scryfall.io/large/front/f/4/f47dd220-6193-4e31-a1df-591b6424ad27.jpg?1576383757,虚相指引,虛相指引,Conseils éthérés,Sphärenhafte Führung,Guida Eterea,天上からの導き,형체 없는 자의 인도,Orientação Etérea,Духовное Наставление,Orientación etérea
Expose Evil,"Expose Evil	{1}{W}
Instant
Tap up to two target creatures.
Investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")

",https://scryfall.com/card/iko/21/expose-evil,https://cards.scryfall.io/large/front/9/d/9de0341a-cd45-439c-adc2-8d24c47c4bd5.jpg?1576383763,曝邪明光,曝邪明光,Révélation du mal,Das Böse entlarven,Smascherare il Maligno,邪悪の暴露,악의 발산,Expor o Mal,Изобличение Зла,Exponer el mal
Gryff's Boon,"Gryff's Boon	{W}
Enchantment — Aura
Enchant creature
Enchanted creature gets +1/+0 and has flying.
{3}{W}: Return this card from your graveyard to the battlefield attached to target creature. Activate only as a sorcery.

",https://scryfall.com/card/iko/22/gryffs-boon,https://cards.scryfall.io/large/front/a/0/a01e7a3f-9654-4f72-8adc-20dad0b5d14e.jpg?1736467511,骏鹭恩泽,駿鷺恩澤,Faveur du gryff,Segnung des Dommelgreifs,Dono del Gryff,グリフの加護,그리프의 은혜,Dádiva do Grifino,Дар Грифа,Dádiva de gryff
Hanweir Militia Captain // Westvale Cult Leader,"Hanweir Militia Captain // Westvale Cult Leader	{1}{W}
Creature — Human Soldier
At the beginning of your upkeep, if you control four or more creatures, transform this creature.
2/2
",https://scryfall.com/card/iko/23/hanweir-militia-captain--westvale-cult-leader,https://cards.scryfall.io/large/front/7/e/7e137566-5033-48e8-88ba-65e3821b3cec.jpg?1576383782,翰威民兵队长 // 西行谷教领袖,翰威民兵隊長 // 西行谷教領袖,Capitaine de la milice de Hanweir // Chef de culte du Val d'Orient,Hauptmann der Hennweier-Miliz // Anführerin des Westtal-Kults,Capitana della Milizia di Hanweir // Caposetta della Vestvalle,ハンウィアーの民兵隊長 // ウェストヴェイル教団の指導者,한웨이르 민병대 대장 // 서쪽계곡단 단장,Capitã de Milícia de Hanweir // Líder de Culto de Oestevale,Капитан Ханвирского Ополчения // Глава Вествальского Культа,Capitana de la milicia de Hanweir // Líder del culto de Cuenca Oeste
Hanweir Militia Captain // Westvale Cult Leader,"Hanweir Militia Captain // Westvale Cult Leader	
Creature — Human Cleric
Westvale Cult Leader's power and toughness are each equal to the number of creatures you control.
At the beginning of your end step, create a 1/1 white and black Human Cleric creature token.
*/*
",https://scryfall.com/card/iko/24/hanweir-militia-captain--westvale-cult-leader,https://cards.scryfall.io/large/front/7/e/7e137566-5033-48e8-88ba-65e3821b3cec.jpg?1576383782,翰威民兵队长 // 西行谷教领袖,翰威民兵隊長 // 西行谷教領袖,Capitaine de la milice de Hanweir // Chef de culte du Val d'Orient,Hauptmann der Hennweier-Miliz // Anführerin des Westtal-Kults,Capitana della Milizia di Hanweir // Caposetta della Vestvalle,ハンウィアーの民兵隊長 // ウェストヴェイル教団の指導者,한웨이르 민병대 대장 // 서쪽계곡단 단장,Capitã de Milícia de Hanweir // Líder de Culto de Oestevale,Капитан Ханвирского Ополчения // Глава Вествальского Культа,Capitana de la milicia de Hanweir // Líder del culto de Cuenca Oeste
Hope Against Hope,"Hope Against Hope	{2}{W}
Enchantment — Aura
Enchant creature
Enchanted creature gets +1/+1 for each creature you control.
As long as enchanted creature is a Human, it has first strike.

",https://scryfall.com/card/iko/25/hope-against-hope,https://cards.scryfall.io/large/front/a/6/a6f7c6f5-159a-40ed-823a-8740a1ce373e.jpg?1576383788,空抱希望,空抱希望,Espérer contre tout espoir,Wider alle Hoffnung,Speranza Senza Speranze,死中に活,헛된 희망,Esperança Desesperada,Упрямая Надежда,Albergar esperanza
Humble the Brute,"Humble the Brute	{4}{W}
Instant
Destroy target creature with power 4 or greater.
Investigate.(Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")

",https://scryfall.com/card/iko/26/humble-the-brute,https://cards.scryfall.io/large/front/7/c/7c105686-8b45-494a-b9ef-8aa267bb1b5a.jpg?1656286373,巧取强敌,巧取強敵,Oppression de la brute,Demut lehren,Soggiogare il Bruto,粗暴者の貶め,짐승 사냥,Humildade ao Bruto,Усмирение Жестоких,Humillar a la bestia
Inquisitor's Ox,"Inquisitor's Ox	{3}{W}
Creature — Ox
Delirium — This creature gets +1/+0 and has vigilance as long as there are four or more card types among cards in your graveyard.
2/5
",https://scryfall.com/card/iko/27/inquisitors-ox,https://cards.scryfall.io/large/front/f/d/fd1401fe-9e88-401b-96f0-5f58808a519f.jpg?1576383802,审判官驮牛,審判官馱牛,Bœuf de l'inquisiteur,Ochse des Inquisitors,Bue dell'Inquisitore,審問官の雄牛,심문관의 황소,Boi do Inquisidor,Бык Инквизитора,Buey del inquisidor
Inspiring Captain,"Inspiring Captain	{3}{W}
Creature — Human Knight
When this creature enters, creatures you control get +1/+1 until end of turn.
3/3
",https://scryfall.com/card/iko/28/inspiring-captain,https://cards.scryfall.io/large/front/f/b/fb56d6ab-50bf-4407-9f30-595ef7ae9492.jpg?1736467523,奋勇队长,奮勇隊長,Capitaine inspiratrice,Inspirierender Hauptmann,Capitana Ispiratrice,鼓舞する隊長,용기를 북돋는 대장,Capitão Inspirador,Вдохновляющий Капитан,Capitana inspiradora
Militant Inquisitor,"Militant Inquisitor	{2}{W}
Creature — Human Cleric
This creature gets +1/+0 for each Equipment you control.
2/3
",https://scryfall.com/card/iko/29/militant-inquisitor,https://cards.scryfall.io/large/front/6/8/68d99f1f-80d6-4b5e-aeae-83fb8ae62cdc.jpg?1576383815,义勇审判官,義勇審判官,Inquisitrice militante,Streitbare Inquisitorin,Inquisitrice Militante,戦闘的な審問官,민병대 심문관,Inquisidor Militante,Воинственный Инквизитор,Inquisidora militante
Moorland Drifter,"Moorland Drifter	{1}{W}
Creature — Spirit
Delirium — This creature has flying as long as there are four or more card types among cards in your graveyard.
2/2
",https://scryfall.com/card/iko/30/moorland-drifter,https://cards.scryfall.io/large/front/5/8/5839942c-0ad1-4f77-97a0-142b8ef2266c.jpg?1576383820,荒野漂泊灵,荒野漂泊靈,Dériveur landéen,Moorland-Herumtreiber,Vagabondo della Brughiera,ムーアランドの流れ者,이탄지 떠돌이,Errante da Charneca,Видение Вересковых Пустошей,Errante del Páramo
Nahiri's Machinations,"Nahiri's Machinations	{1}{W}
Enchantment
At the beginning of combat on your turn, target creature you control gains indestructible until end of turn.
{1}{R}: This enchantment deals 1 damage to target blocking creature.

",https://scryfall.com/card/iko/31/nahiris-machinations,https://cards.scryfall.io/large/front/a/9/a9ba0f1c-8641-4f5a-8f2e-f969fc7a058a.jpg?1576383826,娜希丽的阴谋,娜希麗的陰謀,Machinations de Nahiri,Nahiris Machenschaften,Macchinazioni di Nahiri,ナヒリの策謀,나히리의 술책,Maquinações de Nahiri,Интриги Нахири,Maquinaciones de Nahiri
Nearheath Chaplain,"Nearheath Chaplain	{3}{W}
Creature — Human Cleric
Lifelink
{2}{W}, Exile this card from your graveyard: Create two 1/1 white Spirit creature tokens with flying. Activate only as a sorcery.
3/1
",https://scryfall.com/card/iko/32/nearheath-chaplain,https://cards.scryfall.io/large/front/3/6/362ec364-39c1-4a4b-8dfa-268fad2effdd.jpg?1576383833,原陲教士,原陲教士,Aumônier de Prochelande,Kaplan von Heidenau,Cappellano di Landavicina,近野の司祭,니어히스 사제,Capelão de Mata Vizinha,Капеллан Ближней Пустоши,Capellán de Brezalcercano
Not Forgotten,"Not Forgotten	{1}{W}
Sorcery
Put target card from a graveyard on your choice of the top or bottom of its owner's library. Create a 1/1 white Spirit creature token with flying.

",https://scryfall.com/card/iko/33/not-forgotten,https://cards.scryfall.io/large/front/6/6/66ecdadf-56f7-4dfb-9c3c-7d240ba19b00.jpg?1576383839,殁世不忘,歿世不忘,Jamais oublié,Unvergessen,Mai Dimenticato,忘られじ,잊지 않으리,Não Esquecido,Вечная Память,No olvidado
"Odric, Lunarch Marshal","Odric, Lunarch Marshal	{3}{W}
Legendary Creature — Human Soldier
At the beginning of each combat, creatures you control gain first strike until end of turn if a creature you control has first strike. The same is true for flying, deathtouch, double strike, haste, hexproof, indestructible, lifelink, menace, reach, skulk, trample, and vigilance.
3/3
",https://scryfall.com/card/iko/34/odric-lunarch-marshal,https://cards.scryfall.io/large/front/1/d/1db600b2-9b8b-4c21-8d8b-8033ec680a35.jpg?1736467562,月主会元帅欧吉克,月主會元帥歐吉克,"Odric, maréchal lunarque","Odric, Lunarch-Marschall","Odric, Maresciallo del Lunarca",月皇の司令官、オドリック,달의 집행관 오드릭,"Odric, Marechal Lunarca","Одрик, Маршал-Лунарх","Odric, mariscal lunarca"
Open the Armory,"Open the Armory	{1}{W}
Sorcery
Search your library for an Aura or Equipment card, reveal it, put it into your hand, then shuffle.

",https://scryfall.com/card/iko/35/open-the-armory,https://cards.scryfall.io/large/front/6/d/6db45698-9da9-4cea-b9bf-0f84ab276b51.jpg?1608908895,打开兵械库,打開兵械庫,Ouvrez l'armurerie,Öffnet die Rüstkammer,Aprire l'Armeria,武器庫の開放,무기고 개방,Abrir o Arsenal,Открыть Арсенал,Abrir la armería
Paranoid Parish-Blade,"Paranoid Parish-Blade	{2}{W}
Creature — Human Soldier
Delirium — This creature gets +1/+0 and has first strike as long as there are four or more card types among cards in your graveyard.
3/2
",https://scryfall.com/card/iko/36/paranoid-parish-blade,https://cards.scryfall.io/large/front/1/6/16bb6c60-1889-49ed-8767-8144cc5a9571.jpg?1576383858,妄念教区精兵,妄念教區精兵,Lame paroissiale paranoïaque,Paranoider Sprengelwächter,Lama del Popolo Paranoica,偏執的な教区刃,망상에 빠진 교구검사,Lâmina Paroquial Paranoico,Безумный Приходской Клинок,Acero de la parroquia paranoico
Pious Evangel // Wayward Disciple,"Pious Evangel // Wayward Disciple	{2}{W}
Creature — Human Cleric
Whenever this creature or another creature you control enters, you gain 1 life.
{2}, {T}, Sacrifice another permanent: Transform this creature.
2/2
",https://scryfall.com/card/iko/37/pious-evangel--wayward-disciple,https://cards.scryfall.io/large/front/7/a/7ac2a5aa-71c3-482b-9431-5f0b228cf64d.jpg?1576383871,虔诚福音师 // 刚愎信徒,虔誠福音師 // 剛愎信徒,Prédicateur pieux // Disciple rétif,Frommer Evangelist // Abtrünniger Apostel,Evangelista Devoto // Discepolo Traviato,敬虔な福音者 // むら気な信奉者,경건한 전도사 // 고집 센 사제,Missionário Pio // Discípulo Desencaminhado,Набожный Проповедник // Заблудший Ученик,Misionero piadoso // Discípulo obstinado
Pious Evangel // Wayward Disciple,"Pious Evangel // Wayward Disciple	
Creature — Human Cleric
Whenever this creature or another creature you control dies, target opponent loses 1 life and you gain 1 life.
2/4
",https://scryfall.com/card/iko/38/pious-evangel--wayward-disciple,https://cards.scryfall.io/large/front/7/a/7ac2a5aa-71c3-482b-9431-5f0b228cf64d.jpg?1576383871,虔诚福音师 // 刚愎信徒,虔誠福音師 // 剛愎信徒,Prédicateur pieux // Disciple rétif,Frommer Evangelist // Abtrünniger Apostel,Evangelista Devoto // Discepolo Traviato,敬虔な福音者 // むら気な信奉者,경건한 전도사 // 고집 센 사제,Missionário Pio // Discípulo Desencaminhado,Набожный Проповедник // Заблудший Ученик,Misionero piadoso // Discípulo obstinado
Puncturing Light,"Puncturing Light	{1}{W}
Instant
Destroy target attacking or blocking creature with power 3 or less.

",https://scryfall.com/card/iko/39/puncturing-light,https://cards.scryfall.io/large/front/5/b/5b101264-4994-43b7-9156-228f7d10d2bd.jpg?1576383877,穿刺光束,穿刺光束,Lumière perforante,Durchbohrendes Licht,Luce Perforante,刺し込む光,관통하는 빛,Luz Perfurante,Пронзающий Свет,Luz punzante
Reaper of Flight Moonsilver,"Reaper of Flight Moonsilver	{3}{W}{W}
Creature — Angel
Flying
Delirium — Sacrifice another creature: This creature gets +2/+1 until end of turn. Activate only if there are four or more card types among cards in your graveyard.
3/3
",https://scryfall.com/card/iko/40/reaper-of-flight-moonsilver,https://cards.scryfall.io/large/front/5/8/58cf3ac8-db59-4acc-abb6-e63b95b849ac.jpg?1576383883,月银索命使,月銀索命使,Faucheuse du Vol d'Argent de lune,Schnitterin der Mondsilberschar,Mietitrice della Schiera Selenargento,空翔る月銀の魂刈り,은달빛 편대의 사신,Ceifadora do Bando Prata Lunar,Жница Сонма Лунного Серебра,Segadora de la Legión Platalunar
Silverstrike,"Silverstrike	{3}{W}
Instant
Destroy target attacking creature. You gain 3 life.

",https://scryfall.com/card/iko/41/silverstrike,https://cards.scryfall.io/large/front/0/f/0f27b92a-cde9-41bc-9b23-d83b74b167d4.jpg?1576383889,银刃击,銀刃擊,Frappe d'argent,Silberstich,Colpo d'Argento,銀の一撃,은빛강타,Golpe de Prata,Серебряный Удар,Golpe argénteo
Spectral Shepherd,"Spectral Shepherd	{2}{W}
Creature — Spirit
Flying
{1}{U}: Return target Spirit you control to its owner's hand.
2/2
",https://scryfall.com/card/iko/42/spectral-shepherd,https://cards.scryfall.io/large/front/a/4/a44cc0d0-5fdf-4090-bedd-a64069831df4.jpg?1736467585,幽灵牧者,幽靈牧者,Berger spectral,Spektraler Hirte,Pastore Spettrale,霊体の羊飼い,유령 목동,Pastor Espectral,Призрачный Пастух,Pastor espectral
Stern Constable,"Stern Constable	{W}
Creature — Human Soldier
{T}, Discard a card: Tap target creature.
1/1
",https://scryfall.com/card/iko/43/stern-constable,https://cards.scryfall.io/large/front/4/f/4f0f87d4-5fed-415c-918a-c3546697a3da.jpg?1576383903,严峻保安官,嚴峻保安官,Constable sévère,Gestrenger Konstabler,Connestabile Severo,厳格な巡邏官,단호한 순경,Policial Severo,Суровый Комендант,Gendarme inflexible
Strength of Arms,"Strength of Arms	{W}
Instant
Target creature gets +2/+2 until end of turn. If you control an Equipment, create a 1/1 white Human Soldier creature token.

",https://scryfall.com/card/iko/44/strength-of-arms,https://cards.scryfall.io/large/front/a/0/a08fb8ec-6890-48f9-97db-0584a9a77578.jpg?1736467592,兵器之力,兵器之力,Force des armes,Waffenstärke,Forza delle Armi,腕っぷし,무기의 힘,Força de Armas,Сила Оружия,Fuerza de las armas
Survive the Night,"Survive the Night	{2}{W}
Instant
Target creature gets +1/+0 and gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)
Investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")

",https://scryfall.com/card/iko/45/survive-the-night,https://cards.scryfall.io/large/front/5/c/5cb4a0bc-196a-466b-a704-377f5c7eb5b7.jpg?1576383916,暗夜求生,暗夜求生,Survivre à la nuit,Die Nacht überleben,Sopravvivere alla Notte,今夜を生き延びる,야밤의 생존 전투,Sobreviver à Noite,Пережить Ночь,Sobrevivir a la noche
Tenacity,"Tenacity	{3}{W}
Instant
Creatures you control get +1/+1 and gain lifelink until end of turn. Untap those creatures. (Damage dealt by those creatures also causes you to gain that much life.)

",https://scryfall.com/card/iko/46/tenacity,https://cards.scryfall.io/large/front/4/1/41fbe149-3e1f-495e-be1b-efc3a6dbcb08.jpg?1576383922,坚忍不拔,堅忍不拔,Pertinacité,Beharrlichkeit,Tenacia,執念,불굴의 의지,Tenacidade,Твердость Воли,Tesón
Thalia's Lieutenant,"Thalia's Lieutenant	{1}{W}
Creature — Human Soldier
When this creature enters, put a +1/+1 counter on each other Human you control.
Whenever another Human you control enters, put a +1/+1 counter on this creature.
1/1
",https://scryfall.com/card/iko/47/thalias-lieutenant,https://cards.scryfall.io/large/front/9/c/9c2000ef-3e6b-4f44-8bd6-ed8119336d5a.jpg?1591320174,莎利雅的副官,莎利雅的副官,Lieutenante de Thalia,Thalias Leutnant,Tenente di Thalia,サリアの副官,탈리아의 부관,Tenente de Thalia,Лейтенант Талии,Teniente de Thalia
