name,oracle_text,scryfall_link,image_src,chinese_simplified,chinese_traditional,french,german,italian,japanese,korean,portuguese,russian,spanish
Hopeful Eidolon,"Hopeful Eidolon	{W}
Enchantment Creature — Spirit
Bestow {3}{W} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached.)
Lifelink (Damage dealt by this creature also causes you to gain that much life.)
Enchanted creature gets +1/+1 and has lifelink.
1/1
",https://scryfall.com/card/ths/19/hopeful-eidolon,https://cards.scryfall.io/large/front/4/c/4c69995b-ef31-4635-8d5a-b31f73993364.jpg?1562817802,美愿幻灵,美願幻靈,Eidôlon optimiste,Hoffnungsfrohes Eidolon,Apparizione della Speranza,希望の幻霊,희망의 에이돌론,Eidolon Esperançoso,Эйдолон Надежды,Eidolón esperanzada
Hundred-Handed One,"Hundred-Handed One	{2}{W}{W}
Creature — Giant
Vigilance
{3}{W}{W}{W}: Monstrosity 3. (If this creature isn't monstrous, put three +1/+1 counters on it and it becomes monstrous.)
As long as this creature is monstrous, it has reach and can block an additional ninety-nine creatures each combat.
3/5
",https://scryfall.com/card/ths/20/hundred-handed-one,https://cards.scryfall.io/large/front/4/8/489f192f-0d8a-468b-94f5-67a937e5028e.jpg?1576382286,百臂巨人,百臂巨人,Hécatonchire,Der Hunderthändige,Centimano,百手巨人,100개의 손을 가진 거인,Centomano,Сторукий,El de las cien manos
Lagonna-Band Elder,"Lagonna-Band Elder	{2}{W}
Creature — Centaur Advisor
When this creature enters, if you control an enchantment, you gain 3 life.
3/2
",https://scryfall.com/card/ths/21/lagonna-band-elder,https://cards.scryfall.io/large/front/6/8/68b9df54-e78e-4a86-a8b1-b735ec08a812.jpg?1562819312,拉苟那族长老,拉苟那族長老,Doyen du clan Lagonna,Ältester der Lagonna-Herde,Anziano della Banda Lagonna,ラゴンナ団の長老,라곤나 무리 장로,Ancião do Bando de Lagonna,Старейшина Племени Лагонна,Anciano del clan Lagonna
Last Breath,"Last Breath	{1}{W}
Instant
Exile target creature with power 2 or less. Its controller gains 4 life.

",https://scryfall.com/card/ths/22/last-breath,https://cards.scryfall.io/large/front/1/2/12cca37a-7efd-4b01-bf96-15d0a032524d.jpg?1673147008,咽气,嚥氣,Dernier souffle,Letzter Atemzug,Ultimo Respiro,今わの際,최후의 숨결,Último Fôlego,Последний Выдох,Último aliento
Leonin Snarecaster,"Leonin Snarecaster	{1}{W}
Creature — Cat Soldier
When this creature enters, you may tap target creature.
2/1
",https://scryfall.com/card/ths/23/leonin-snarecaster,https://cards.scryfall.io/large/front/9/7/9745cc70-d6a0-43c5-b8d7-a930d95e94c7.jpg?1592754600,狮族布陷手,獅族佈陷手,Braconnier léonin,Leoniden-Schlingenwerfer,Scagliatrappole Leonid,レオニンの投網使い,레오닌 그물사냥꾼,Lançador de Armadilhas Leonino,Леонинский Ловец,Trampero leonino
Observant Alseid,"Observant Alseid	{2}{W}
Enchantment Creature — Nymph
Bestow {4}{W} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached.)
Vigilance
Enchanted creature gets +2/+2 and has vigilance.
2/2
",https://scryfall.com/card/ths/24/observant-alseid,https://cards.scryfall.io/large/front/e/1/e1410d10-476a-4ed2-ae44-75383ed0e359.jpg?1562834593,明眼蔻灵,明眼蔻靈,Alséide observatrice,Wachsame Alseide,Alseide Devota,目ざといアルセイド,관찰자 알세이드,Alseíde Observadora,Альсеида-Наблюдательница,Alseide observadora
Ordeal of Heliod,"Ordeal of Heliod	{1}{W}
Enchantment — Aura
Enchant creature
Whenever enchanted creature attacks, put a +1/+1 counter on it. Then if it has three or more +1/+1 counters on it, sacrifice this Aura.
When you sacrifice this Aura, you gain 10 life.

",https://scryfall.com/card/ths/25/ordeal-of-heliod,https://cards.scryfall.io/large/front/d/d/dd652c85-f8ca-4e38-a21b-f21b729bcf92.jpg?1562442078,赫利欧德的试炼,赫利歐德的試煉,Épreuve d'Héliode,Prüfung des Heliod,Ordalia di Eliod,ヘリオッドの試練,헬리아드의 시련,Provação de Heliode,Испытание Гелиода,Ordalía de Heliod
Phalanx Leader,"Phalanx Leader	{W}{W}
Creature — Human Soldier
Heroic — Whenever you cast a spell that targets this creature, put a +1/+1 counter on each creature you control.
1/1
",https://scryfall.com/card/ths/26/phalanx-leader,https://cards.scryfall.io/large/front/9/6/96d22985-4354-4015-bd74-0ddf4f0cdf17.jpg?1547515719,方阵兵团队长,方陣兵團隊長,Chef de phalange,Phalanx-Anführer,Capo della Falange,密集軍の指揮者,팔랑크스 지휘관,Líder da Falange,Командир Фаланги,Líder de la Falange
Ray of Dissolution,"Ray of Dissolution	{2}{W}
Instant
Destroy target enchantment. You gain 3 life.

",https://scryfall.com/card/ths/27/ray-of-dissolution,https://cards.scryfall.io/large/front/b/5/b55c31d1-6b05-4ea1-a444-51ad57ebcfa0.jpg?1562826808,消融之光,消融之光,Rayon de scission,Strahl der Auflösung,Raggio della Dissoluzione,解消の光,소멸의 광선,Raio de Dissolução,Луч Распада,Rayo de disolución
Scholar of Athreos,"Scholar of Athreos	{2}{W}
Creature — Human Cleric
{2}{B}: Each opponent loses 1 life. You gain life equal to the life lost this way.
1/4
",https://scryfall.com/card/ths/28/scholar-of-athreos,https://cards.scryfall.io/large/front/9/5/95a36e06-39f3-47d0-b6a9-43728afceb4a.jpg?1562821652,雅睿欧斯的学者,雅睿歐斯的學者,Érudite d'Athréos,Gelehrte des Athreos,Studiosa di Atreo,エイスリオスの学者,에스리오스의 학자,Escolástico de Atreos,Исследовательница Атрея,Erudita de Atreos
Setessan Battle Priest,"Setessan Battle Priest	{1}{W}
Creature — Human Cleric
Heroic — Whenever you cast a spell that targets this creature, you gain 2 life.
1/3
",https://scryfall.com/card/ths/29/setessan-battle-priest,https://cards.scryfall.io/large/front/9/c/9c9cfa33-dcec-4b34-9218-c08ad932d27b.jpg?1562822261,瑟特萨战斗僧侣,瑟特薩戰鬥僧侶,Prêtresse de bataille setessienne,Kampfpriesterin aus Setessa,Sacerdotessa Guerriera di Setessa,セテッサの戦神官,세테사의 전투 사제,Sacerdote de Batalha Setessano,Сетесская Боевая Жрица,Sacerdotisa guerrera setessana
Setessan Griffin,"Setessan Griffin	{4}{W}
Creature — Griffin
Flying
{2}{G}{G}: This creature gets +2/+2 until end of turn. Activate only once each turn.
3/2
",https://scryfall.com/card/ths/30/setessan-griffin,https://cards.scryfall.io/large/front/3/5/35d2ae77-b16c-4a01-84ce-5c78be5a54d8.jpg?1562816585,瑟特萨狮鹫,瑟特薩獅鷲,Griffon setessien,Setessischer Greif,Grifone di Setessa,セテッサのグリフィン,세테사 그리핀,Grifo Setessano,Сетесский Грифон,Grifo setessano
Silent Artisan,"Silent Artisan	{3}{W}{W}
Creature — Giant

3/5
",https://scryfall.com/card/ths/31/silent-artisan,https://cards.scryfall.io/large/front/d/c/dce5647d-1546-4eff-a2a2-9e9ef26db533.jpg?1593860943,缄默工匠,緘默工匠,Artisan silencieux,Stiller Handwerker,Artigiano Silente,沈黙の職工,침묵의 장인,Artesão Silencioso,Безмолвный Мастер,Artesano sosegado
Soldier of the Pantheon,"Soldier of the Pantheon	{W}
Creature — Human Soldier
Protection from multicolored
Whenever an opponent casts a multicolored spell, you gain 1 life.
2/1
",https://scryfall.com/card/ths/32/soldier-of-the-pantheon,https://cards.scryfall.io/large/front/5/c/5cfc0f46-4df4-4ae3-bfe6-391916eb590f.jpg?1562818721,万神殿卫,萬神殿衛,Soldat du panthéon,Soldat des Pantheon,Soldato del Pantheon,万神殿の兵士,신앙깊은 병사,Soldado do Panteão,Солдат Пантеона,Soldado del panteón
Spear of Heliod,"Spear of Heliod	{1}{W}{W}
Legendary Enchantment Artifact
Creatures you control get +1/+1.
{1}{W}{W}, {T}: Destroy target creature that dealt damage to you this turn.

",https://scryfall.com/card/ths/33/spear-of-heliod,https://cards.scryfall.io/large/front/3/4/34ef01da-d311-4d4f-9f7b-328e7bb17db4.jpg?1562816561,赫利欧德的长矛,赫利歐德的長矛,Lance d'Héliode,Speer des Heliod,Lancia di Eliod,ヘリオッドの槍,헬리아드의 창,Lança de Heliode,Копье Гелиода,Lanza de Heliod
Traveling Philosopher,"Traveling Philosopher	{1}{W}
Creature — Human Advisor

2/2
",https://scryfall.com/card/ths/34/traveling-philosopher,https://cards.scryfall.io/large/front/e/d/edad0276-45d1-45e5-a6b1-1cd2a99b4f2c.jpg?1593860950,旅哲人,旅哲人,Philosophe itinérante,Reisende Philosophin,Filosofa Itinerante,旅する哲人,방랑하는 철학자,Filósofo Viajante,Странствующий Философ,Filósofa nómada
Vanquish the Foul,"Vanquish the Foul	{5}{W}
Sorcery
Destroy target creature with power 4 or greater. Scry 1. (Look at the top card of your library. You may put that card on the bottom.)

",https://scryfall.com/card/ths/35/vanquish-the-foul,https://cards.scryfall.io/large/front/8/f/8fdcec06-e33c-4737-b81e-b156d6e3fd77.jpg?1562821391,污浊退散,污濁退散,Victoire contre l'infâme,Triumph über das Böse,Sgominare l'Impuro,邪悪退治,추악한 자의 최후,Subjugar os Impuros,Покорение Нечестивых,Sojuzgar a los impuros
Wingsteed Rider,"Wingsteed Rider	{1}{W}{W}
Creature — Human Knight
Flying
Heroic — Whenever you cast a spell that targets this creature, put a +1/+1 counter on this creature.
2/2
",https://scryfall.com/card/ths/36/wingsteed-rider,https://cards.scryfall.io/large/front/9/e/9e0234e0-6cdd-46b8-91b5-1b8ba7db3014.jpg?1673147175,飞马骑士,飛馬騎士,Cavalière au destrier ailé,Geflügelte Reiterin,Cavalcatrice del Destriero Alato,天馬の乗り手,창공의 기수,Ginete do Corcel Alado,Наездница Крылатого Скакуна,Jinete del corcel alado
Yoked Ox,"Yoked Ox	{W}
Creature — Ox

0/4
",https://scryfall.com/card/ths/37/yoked-ox,https://cards.scryfall.io/large/front/a/7/a73f186b-c897-4a98-bc25-8e4aa348d8c9.jpg?1592516244,负轭牛,負軛牛,Buffle attelé,Eingespannter Ochse,Bue col Giogo,鋤引きの雄牛,멍에 씌운 황소,Boi Jungido,Бык под Ярмом,Buey sometido
Annul,"Annul	{U}
Instant
Counter target artifact or enchantment spell.

",https://scryfall.com/card/ths/38/annul,https://cards.scryfall.io/large/front/4/f/4feeebea-aa55-4599-ab5a-4e41a54d0dfd.jpg?1752946732,抹除,抹除,Dissolution,Annullieren,Nullificare,無効,취소,Anular,Аннуляция,Anular
Aqueous Form,"Aqueous Form	{U}
Enchantment — Aura
Enchant creature
Enchanted creature can't be blocked.
Whenever enchanted creature attacks, scry 1. (Look at the top card of your library. You may put that card on the bottom.)

",https://scryfall.com/card/ths/39/aqueous-form,https://cards.scryfall.io/large/front/c/8/c859f7cb-ac12-490e-b769-6f019791f2a5.jpg?1608909093,似水流形,似水流形,Forme aqueuse,Wassergestalt,Forma Acquea,液態化,액체화,Forma Aquosa,Водяной Облик,Forma acuosa
Artisan of Forms,"Artisan of Forms	{1}{U}
Creature — Human Wizard
Heroic — Whenever you cast a spell that targets this creature, you may have this creature become a copy of target creature, except it has this ability.
1/1
",https://scryfall.com/card/ths/40/artisan-of-forms,https://cards.scryfall.io/large/front/a/7/a7f10198-1eef-4577-b375-b900b15060e1.jpg?1562823794,幽形工匠,幽形工匠,Artisane des formes,Gestaltende Handwerkerin,Artigiana delle Sembianze,形態の職工,변신의 장인,Artesão das Formas,Создательница Форм,Artesana de las formas
Benthic Giant,"Benthic Giant	{5}{U}
Creature — Giant
Hexproof (This creature can't be the target of spells or abilities your opponents control.)
4/5
",https://scryfall.com/card/ths/41/benthic-giant,https://cards.scryfall.io/large/front/1/f/1ff8671d-4da4-4dc2-a8c4-d695ff1aca0f.jpg?1562901366,深海巨人,深海巨人,Géant benthique,Benthischer Riese,Gigante di Benthic,水底の巨人,심해 거인,Gigante Bentônico,Глубоководный Гигант,Gigante bentónico
Bident of Thassa,"Bident of Thassa	{2}{U}{U}
Legendary Enchantment Artifact
Whenever a creature you control deals combat damage to a player, you may draw a card.
{1}{U}, {T}: Creatures your opponents control attack this turn if able.

",https://scryfall.com/card/ths/42/bident-of-thassa,https://cards.scryfall.io/large/front/9/4/94751d5e-7693-44af-b1b5-e440677dc7a2.jpg?1698988131,塔萨的双叉戟,塔薩的雙叉戟,Bident de Thassa,Zweizack der Thassa,Bidente di Thassa,タッサの二叉槍,타사의 쌍지창,Bidente de Tassa,Двузубец Тассы,Bidente de Tassa
Breaching Hippocamp,"Breaching Hippocamp	{3}{U}
Creature — Horse Fish
Flash (You may cast this spell any time you could cast an instant.)
When this creature enters, untap another target creature you control.
3/2
",https://scryfall.com/card/ths/43/breaching-hippocamp,https://cards.scryfall.io/large/front/8/8/8841c01e-015e-4541-942a-f8859dd03fea.jpg?1562820994,破浪鱼驹,破浪魚駒,Hippocampe jaillissant,Auftauchender Hippokamp,Ippocampo Guizzante,水跳ねの海馬,돌파하는 해마,Hipocampo Saltador,Резвящийся Гиппокамп,Hipocampo quebrantador
Coastline Chimera,"Coastline Chimera	{3}{U}
Creature — Chimera
Flying
{1}{W}: This creature can block an additional creature this turn.
1/5
",https://scryfall.com/card/ths/44/coastline-chimera,https://cards.scryfall.io/large/front/0/1/01320a31-25fa-4324-8225-d150c6aa58a1.jpg?1562813968,海岸盖美拉,海岸蓋美拉,Chimère de la côte,Küstenchimäre,Chimera delle Coste,海岸線のキマイラ,해안선 키메라,Quimera Costeira,Береговая Химера,Quimera costera
Crackling Triton,"Crackling Triton	{2}{U}
Creature — Merfolk Wizard
{2}{R}, Sacrifice this creature: It deals 2 damage to any target.
2/3
",https://scryfall.com/card/ths/45/crackling-triton,https://cards.scryfall.io/large/front/8/d/8d6bb19c-3610-4609-b23c-21d4d80e4582.jpg?1562821246,爆裂屈东,爆裂屈東,Triton crépitant,Knisternder Tritonier,Marinide Crepitante,はじけるトリトン,불꽃튀는 트리톤,Talassido Crepitante,Тритон Молний,Tritónido crepitante
Curse of the Swine,"Curse of the Swine	{X}{U}{U}
Sorcery
Exile X target creatures. For each creature exiled this way, its controller creates a 2/2 green Boar creature token.

",https://scryfall.com/card/ths/46/curse-of-the-swine,https://cards.scryfall.io/large/front/9/1/91eb9067-0bc7-4497-ba9c-c1ea41e5a379.jpg?1775940936,野猪之咒,野豬之咒,Malédiction du pourceau,Fluch des Borstenviehs,Maledizione dei Maiali,豚の呪い,돼지의 저주,Maldição do Suíno,Превращение в Свиней,Maldición porcina
Dissolve,"Dissolve	{1}{U}{U}
Instant
Counter target spell. Scry 1. (Look at the top card of your library. You may put that card on the bottom.)

",https://scryfall.com/card/ths/47/dissolve,https://cards.scryfall.io/large/front/b/4/b4fb87ab-8595-459a-a5f2-087296d9b120.jpg?1562853056,消融,消融,Dissoudre,Auflösen,Dileguare,解消,용해,Dissolver,Растворение,Diluir
Fate Foretold,"Fate Foretold	{1}{U}
Enchantment — Aura
Enchant creature
When this Aura enters, draw a card.
When enchanted creature dies, its controller draws a card.

",https://scryfall.com/card/ths/48/fate-foretold,https://cards.scryfall.io/large/front/9/0/90d3ef99-6c86-4d70-a9a4-9c3cd4eb9538.jpg?1562821444,预示命运,預示命運,Destin prophétisé,Vorhergesagtes Schicksal,Fato Premonitore,予記された運命,정해진 운명,Destino Previsto,Предсказанная Судьба,Destino revelado
Gainsay,"Gainsay	{1}{U}
Instant
Counter target blue spell.

",https://scryfall.com/card/ths/49/gainsay,https://cards.scryfall.io/large/front/e/6/e658939a-fa5a-4497-b35c-b6fbfa3f6882.jpg?1562835545,驳斥,駁斥,Contradiction,Abstreiten,Contraddire,反論,반박,Contestação,Противоречие,Contradecir
Griptide,"Griptide	{3}{U}
Instant
Put target creature on top of its owner's library.

",https://scryfall.com/card/ths/50/griptide,https://cards.scryfall.io/large/front/7/7/77480b11-2470-401a-be19-710ea32b719d.jpg?1592754529,攫流,攫流,Turbulences,Grabbelung,Presa della Corrente,捕海,파도의 손아귀,Corrente de Refluxo,Хваткое Течение,Sujetamarea
Horizon Scholar,"Horizon Scholar	{5}{U}
Creature — Sphinx
Flying
When this creature enters, scry 2. (Look at the top two cards of your library, then put any number of them on the bottom and the rest on top in any order.)
4/4
",https://scryfall.com/card/ths/51/horizon-scholar,https://cards.scryfall.io/large/front/8/4/84c21aa7-678e-4998-9061-a13d04d92842.jpg?1608909250,天际学者,天際學者,Érudit de l'horizon,Gelehrter des Horizonts,Studioso dell'Orizzonte,地平の識者,지평선의 학자,Escolástico do Horizonte,Исследователь Горизонтов,Erudito del horizonte
Lost in a Labyrinth,"Lost in a Labyrinth	{U}
Instant
Target creature gets -3/-0 until end of turn. Scry 1. (Look at the top card of your library. You may put that card on the bottom.)

",https://scryfall.com/card/ths/52/lost-in-a-labyrinth,https://cards.scryfall.io/large/front/0/9/09aa7744-680f-4c2a-8fa0-9cb0c176ae8f.jpg?1562814444,迷宫迷途,迷宮迷途,Perdu dans un labyrinthe,Verloren im Labyrinth,Perduto nel Dedalo,迷宮での迷子,미로에 빠지다,Perdido Num Labirinto,Блуждание в Лабиринте,Perdido en el laberinto
Master of Waves,"Master of Waves	{3}{U}
Creature — Merfolk Wizard
Protection from red
Elemental creatures you control get +1/+1.
When this creature enters, create a number of 1/0 blue Elemental creature tokens equal to your devotion to blue. (Each {U} in the mana costs of permanents you control counts toward your devotion to blue.)
2/1
",https://scryfall.com/card/ths/53/master-of-waves,https://cards.scryfall.io/large/front/1/4/14cd5387-c6aa-4430-8edb-05da6b4e2ff5.jpg?1592764548,波涛大师,波濤大師,Maître des vagues,Meister der Wellen,Signore delle Onde,波使い,파도의 대가,Mestre das Ondas,Повелитель Волн,Maestro de las olas
