name,oracle_text,scryfall_link,image_src,chinese_simplified,chinese_traditional,french,german,italian,japanese,korean,portuguese,russian,spanish
Mortal Obstinacy,"Mortal Obstinacy	{W}
Enchantment — Aura
Enchant creature you control
Enchanted creature gets +1/+1.
Whenever enchanted creature deals combat damage to a player, you may sacrifice this Aura. If you do, destroy target enchantment.

",https://scryfall.com/card/jou/17/mortal-obstinacy,https://cards.scryfall.io/large/front/6/7/67652df1-f2cc-44cd-ac66-9722d4cd86e9.jpg?1593095278,凡尘执念,凡塵執念,Obstination mortelle,Sturheit der Sterblichen,Ostinazione Mortale,定命の者の強情,필멸자의 끈기,Obstinação dos Mortais,Упрямство Смертных,Obstinación de mortal
Nyx-Fleece Ram,"Nyx-Fleece Ram	{1}{W}
Enchantment Creature — Sheep
At the beginning of your upkeep, you gain 1 life.
0/5
",https://scryfall.com/card/jou/18/nyx-fleece-ram,https://cards.scryfall.io/large/front/7/7/771fcea9-1007-4ff6-8000-99017978ac1c.jpg?1748079675,星绒绵羊,星絨綿羊,Bélier à toison de Nyx,Nyxvlies-Widder,Ariete dal Vello di Nyx,ニクス毛の雄羊,닉스 양털 산양,Carneiro Velocino-de-Nyx,Звезднорунный Овен,Carnero vellocino de Nyx
Oppressive Rays,"Oppressive Rays	{W}
Enchantment — Aura
Enchant creature
Enchanted creature can't attack or block unless its controller pays {3}.
Activated abilities of enchanted creature cost {3} more to activate.

",https://scryfall.com/card/jou/19/oppressive-rays,https://cards.scryfall.io/large/front/5/3/53555768-edad-4441-b6a7-ea2a7cb38abd.jpg?1562787056,压迫射线,壓迫射線,Rayons oppressants,Hemmende Strahlen,Raggi Opprimenti,抑圧的な光線,숨막히는 광선,Raios Opressores,Лучи Подавления,Rayos opresivos
Oreskos Swiftclaw,"Oreskos Swiftclaw	{1}{W}
Creature — Cat Warrior

3/1
",https://scryfall.com/card/jou/20/oreskos-swiftclaw,https://cards.scryfall.io/large/front/0/e/0ea1dfb4-1983-41f7-956c-f2a1d1489b54.jpg?1562300343,俄瑞恣迅爪兵,俄瑞恣迅爪兵,Lestegriffe d'Oreskos,Oreskos-Scharfkralle,Artiglio Rapido di Oreskos,オレスコスの速爪,빠른발톱 오레스코스,Garra-veloz de Oreskos,Быстрый Коготь из Ореска,Garraveloz de Oreskos
Phalanx Formation,"Phalanx Formation	{2}{W}
Instant
Strive — This spell costs {1}{W} more to cast for each target beyond the first.
Any number of target creatures each gain double strike until end of turn. (They deal both first-strike and regular combat damage.)

",https://scryfall.com/card/jou/21/phalanx-formation,https://cards.scryfall.io/large/front/7/e/7e9aaba1-e480-4667-b3c9-d5665a3b4806.jpg?1593095308,方阵队型,方陣隊型,Formation de la phalange,Phalanx-Formation,Falange Serrata,密集軍の隊形,팔랑크스 대형,Formação de Falange,Построение Фалангой,Formación de falange
Quarry Colossus,"Quarry Colossus	{5}{W}{W}
Creature — Giant
When this creature enters, put target creature into its owner's library just beneath the top X cards of that library, where X is the number of Plains you control.
5/6
",https://scryfall.com/card/jou/22/quarry-colossus,https://cards.scryfall.io/large/front/d/9/d921128a-ebfd-4e3c-8728-481a8c3c03f3.jpg?1593095317,采石场巨像,採石場巨像,Colosse des carrières,Steinbruch-Koloss,Colosso della Cava,採石場の巨人,채석장 거인,Colosso da Pedreira,Колосс Каменоломни,Coloso de la cantera
Reprisal,"Reprisal	{1}{W}
Instant
Destroy target creature with power 4 or greater. It can't be regenerated.

",https://scryfall.com/card/jou/23/reprisal,https://cards.scryfall.io/large/front/3/4/343baad1-dd58-4d64-9b0a-258618094ceb.jpg?1593095328,报复,報復,Représailles,Revolte,Rappresaglia,復仇,보복,Represália,Воздаяние,Represalia
Sightless Brawler,"Sightless Brawler	{1}{W}
Enchantment Creature — Human Warrior
Bestow {4}{W} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached.)
This creature can't attack alone.
Enchanted creature gets +3/+2 and can't attack alone.
3/2
",https://scryfall.com/card/jou/24/sightless-brawler,https://cards.scryfall.io/large/front/7/e/7e2fcd27-c068-468f-9825-2825c0cf217d.jpg?1593095335,盲目喧哗兵,盲目喧嘩兵,Bagarreur aveugle,Blinder Raufbold,Lottatore Cieco,盲いた喧嘩屋,눈먼 싸움꾼,Rufião Cego,Незрячий Боец,Pendenciero invidente
Skybind,"Skybind	{3}{W}{W}
Enchantment
Constellation — Whenever this enchantment or another enchantment you control enters, exile target nonenchantment permanent. Return that card to the battlefield under its owner's control at the beginning of the next end step.

",https://scryfall.com/card/jou/25/skybind,https://cards.scryfall.io/large/front/9/1/91e3117a-0955-47fc-81c0-7a662c8c487f.jpg?1593095343,缚空咒,縛空咒,Lien céleste,Himmelsbindung,Vincolo Celeste,空封じ,하늘 결박,Prisão Celeste,Небесное Связывание,Vínculo celeste
Skyspear Cavalry,"Skyspear Cavalry	{3}{W}{W}
Creature — Human Soldier
Flying
Double strike (This creature deals both first-strike and regular combat damage.)
2/2
",https://scryfall.com/card/jou/26/skyspear-cavalry,https://cards.scryfall.io/large/front/c/4/c41a35c6-14d9-4b8f-88f1-f1442e4ef222.jpg?1547515891,空矛骑兵,空矛騎兵,Cavalerie lanceciel,Himmelsspeer-Kavallerie,Cavalleria della Lancia Celeste,空槍の騎兵,하늘창 기병,Cavalaria da Lança Celeste,Верховая Небесная Копейщица,Caballería de lanceras celestes
Stonewise Fortifier,"Stonewise Fortifier	{1}{W}
Creature — Human Wizard
{4}{W}: Prevent all damage that would be dealt to this creature by target creature this turn.
2/2
",https://scryfall.com/card/jou/27/stonewise-fortifier,https://cards.scryfall.io/large/front/4/b/4b1cd291-92a0-4f0f-b73a-64fc498da1ef.jpg?1593095358,擅雕筑匠,擅雕築匠,Fortificateur sophiolithe,Steinkundiger Wächter,Saggio della Pietra Fortificatore,石識の防衛者,돌마도사 축성가,Fortificador Petrisábio,Укрепляющий Камнезнатец,Fortificador rocasagaz
Supply-Line Cranes,"Supply-Line Cranes	{3}{W}{W}
Creature — Bird
Flying
When this creature enters, put a +1/+1 counter on target creature.
2/4
",https://scryfall.com/card/jou/28/supply-line-cranes,https://cards.scryfall.io/large/front/7/6/764bd86e-4156-4c58-9ce0-ca3dffbc7298.jpg?1593095366,补给鹤,補給鶴,Grues de ravitaillement,Nachschub-Kraniche,Gru di Rifornimento,補給線の鶴,학 보급부대,Grous de Suprimento,Снабжающие Журавли,Grullas de línea de suministro
Tethmos High Priest,"Tethmos High Priest	{2}{W}
Creature — Cat Cleric
Heroic — Whenever you cast a spell that targets this creature, return target creature card with mana value 2 or less from your graveyard to the battlefield.
2/3
",https://scryfall.com/card/jou/29/tethmos-high-priest,https://cards.scryfall.io/large/front/5/1/51baeea2-a922-4e98-8253-f395546c30c8.jpg?1547515983,忒特摩斯高阶僧侣,忒特摩斯高階僧侶,Grand prêtre de Tethmos,Hohepriester von Tethmos,Sommo Sacerdote di Tethmos,テツモスの大神官,테스모스 고위 성직자,Alto Sacerdote de Tétimos,Верховный Жрец Тетма,Gran sacerdote de Tetmos
Aerial Formation,"Aerial Formation	{U}
Instant
Strive — This spell costs {2}{U} more to cast for each target beyond the first.
Any number of target creatures each get +1/+1 and gain flying until end of turn.

",https://scryfall.com/card/jou/30/aerial-formation,https://cards.scryfall.io/large/front/f/c/fce86785-bc03-451e-8422-8bb53082cc12.jpg?1593095380,空中列阵,空中列陣,Formation aérienne,Flugformation,Formazione Aerea,空中隊形,공습 대형,Formação Aérea,Воздушное Построение,Formación aérea
Battlefield Thaumaturge,"Battlefield Thaumaturge	{1}{U}
Creature — Human Wizard
Each instant and sorcery spell you cast costs {1} less to cast for each creature it targets.
Heroic — Whenever you cast a spell that targets this creature, this creature gains hexproof until end of turn.
2/1
",https://scryfall.com/card/jou/31/battlefield-thaumaturge,https://cards.scryfall.io/large/front/4/6/467ffc93-b107-457c-af04-a1b682a4b886.jpg?1593095387,战场奇术师,戰場奇術師,Thaumaturge de campagne,Schlachtfeld-Thaumaturg,Taumaturgo Combattente,戦場の秘術師,전장의 요술사,Taumaturgo da Batalha,Боевой Тавматург,Taumaturgo del campo de batalla
Cloaked Siren,"Cloaked Siren	{3}{U}
Creature — Siren
Flash (You may cast this spell any time you could cast an instant.)
Flying
3/2
",https://scryfall.com/card/jou/32/cloaked-siren,https://cards.scryfall.io/large/front/5/f/5f2f76f9-b883-42e1-bd74-71934e15b973.jpg?1576382375,隐匿塞连,隱匿塞連,Sirène dissimulée,Getarnte Sirene,Sirena Celata,擬態するセイレーン,망토를 두른 세이렌,Sirena Camuflada,Укрытая Сирена,Sirena encubierta
Countermand,"Countermand	{2}{U}{U}
Instant
Counter target spell. Its controller mills four cards.

",https://scryfall.com/card/jou/33/countermand,https://cards.scryfall.io/large/front/0/7/07815e32-0b64-4c2b-84e6-a72336c45cf5.jpg?1593095401,勒令撤销,勒令撤銷,Contrordre,Gegenbefehl,Contrordine,撤回命令,철회,Contra-ordem,Контрприказ,Contraorden
Crystalline Nautilus,"Crystalline Nautilus	{2}{U}
Enchantment Creature — Nautilus
Bestow {3}{U}{U} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached.)
When this permanent becomes the target of a spell or ability, sacrifice it.
Enchanted creature gets +4/+4 and has ""When this creature becomes the target of a spell or ability, sacrifice it.""
4/4
",https://scryfall.com/card/jou/34/crystalline-nautilus,https://cards.scryfall.io/large/front/8/8/88a60d25-b97f-40e7-a5ac-c456cee02aeb.jpg?1593095409,晶澈鹦鹉螺,晶澈鸚鵡螺,Nautile cristallin,Kristalliner Nautilus,Nautilo Cristallino,水晶オウムガイ,수정 앵무조개,Náutilo Cristalino,Кристальный Наутилус,Nautilo cristalino
Dakra Mystic,"Dakra Mystic	{U}
Creature — Merfolk Wizard
{U}, {T}: Each player reveals the top card of their library. You may put the revealed cards into their owners' graveyards. If you don't, each player draws a card.
1/1
",https://scryfall.com/card/jou/35/dakra-mystic,https://cards.scryfall.io/large/front/8/e/8e5f71ca-e7d9-4f9a-adf1-40353693deea.jpg?1593095417,达克拉秘教徒,達克拉秘教徒,Mystique dakra,Dakra-Mystikerin,Mistica delle Dakra,ダクラの神秘家,다크라 신비주의자,Místico de Dakra,Мистик из Дакры,Mística de Dakra
Daring Thief,"Daring Thief	{2}{U}
Creature — Human Rogue
Inspired — Whenever this creature becomes untapped, you may exchange control of target nonland permanent you control and target permanent an opponent controls that shares a card type with it.
2/3
",https://scryfall.com/card/jou/36/daring-thief,https://cards.scryfall.io/large/front/c/9/c9d9378d-e553-48b5-8a23-59a35329eda2.jpg?1593095424,大胆的窃贼,大膽的竊賊,Voleuse audacieuse,Dreiste Diebin,Ladra Audace,果敢な泥棒,대담한 도둑,Ladrão Ousado,Дерзкая Воровка,Ladrona temeraria
Dictate of Kruphix,"Dictate of Kruphix	{1}{U}{U}
Enchantment
Flash (You may cast this spell any time you could cast an instant.)
At the beginning of each player's draw step, that player draws an additional card.

",https://scryfall.com/card/jou/37/dictate-of-kruphix,https://cards.scryfall.io/large/front/b/5/b5e4087b-e692-4eb2-bb59-ff2a001d6dd4.jpg?1730490828,克罗芬斯的旨意,克羅芬斯的旨意,Précepte de Kruphix,Gebot des Kruphix,Dettami di Krufix,クルフィックスの指図,크루픽스의 규율,Decreto de Crufix,Веление Круфикса,Mandato de Krufix
Font of Fortunes,"Font of Fortunes	{1}{U}
Enchantment
{1}{U}, Sacrifice this enchantment: Draw two cards.

",https://scryfall.com/card/jou/38/font-of-fortunes,https://cards.scryfall.io/large/front/2/5/25de3481-9b0d-4747-a97b-171b6aa41073.jpg?1593095437,命运洗礼池,命運洗禮池,Fontaine des fortunes,Quell der Schicksale,Fonte della Fortuna,運命の泉,행운의 세례반,Fonte das Fortunas,Источник Судеб,Fuente de la fortuna
Godhunter Octopus,"Godhunter Octopus	{5}{U}
Creature — Octopus
This creature can't attack unless defending player controls an enchantment or an enchanted permanent.
5/5
",https://scryfall.com/card/jou/39/godhunter-octopus,https://cards.scryfall.io/large/front/d/a/da106c23-fd1c-461b-9301-159f93ef489b.jpg?1593095444,捕神章鱼,捕神章魚,Pieuvre chasse-dieu,Gottesjäger-Oktopus,Piovra Cacciadei,神狩りの大ダコ,신사냥꾼 문어,Polvo Caçador de Deuses,"Спрут, Охотник на Богов",Pulpo cazadioses
Hour of Need,"Hour of Need	{2}{U}
Instant
Strive — This spell costs {1}{U} more to cast for each target beyond the first.
Exile any number of target creatures. For each creature exiled this way, its controller creates a 4/4 blue Sphinx creature token with flying.

",https://scryfall.com/card/jou/40/hour-of-need,https://cards.scryfall.io/large/front/7/3/737b859d-d81e-4da3-a8bf-9a8f23c75a50.jpg?1593095453,危急关头,危急關頭,Heure du besoin,Stunde der Not,Ora del Bisogno,難局,필요의 시간,Hora da Necessidade,Час Нужды,Momento de necesidad
Hubris,"Hubris	{1}{U}
Instant
Return target creature and all Auras attached to it to their owners' hands.

",https://scryfall.com/card/jou/41/hubris,https://cards.scryfall.io/large/front/0/5/05f5b473-edad-43a9-b4e7-b6d3fc877cf2.jpg?1593095462,傲睨,傲睨,Hubris,Hybris,Hybris,傲慢,오만,Arrogância,Спесь,Arrogancia
Hypnotic Siren,"Hypnotic Siren	{U}
Enchantment Creature — Siren
Bestow {5}{U}{U} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached.)
Flying
You control enchanted creature.
Enchanted creature gets +1/+1 and has flying.
1/1
",https://scryfall.com/card/jou/42/hypnotic-siren,https://cards.scryfall.io/large/front/3/b/3b2f562f-00d1-41da-a6ac-bc019cce7fe7.jpg?1593095469,催眠塞连,催眠塞連,Sirène hypnotique,Hypnotische Sirene,Sirena Ipnotica,惑乱のセイレーン,최면 세이렌,Sirena Hipnótica,Гипнотическая Сирена,Sirena hipnótica
Interpret the Signs,"Interpret the Signs	{5}{U}
Sorcery
Scry 3, then reveal the top card of your library. Draw cards equal to that card's mana value. (To scry 3, look at the top three cards of your library, then put any number of them on the bottom and the rest on top in any order.)

",https://scryfall.com/card/jou/43/interpret-the-signs,https://cards.scryfall.io/large/front/4/2/42dbf049-5c02-4038-86de-fa6b5110cf7e.jpg?1608909267,解读预兆,解讀預兆,Interpréter les signes,Die Zeichen deuten,Interpretare i Segni,啓示の解読,징조 해석,Interpretar os Sinais,Чтение Знаков,Interpretar las señales
Kiora's Dismissal,"Kiora's Dismissal	{U}
Instant
Strive — This spell costs {U} more to cast for each target beyond the first.
Return any number of target enchantments to their owners' hands.

",https://scryfall.com/card/jou/44/kioras-dismissal,https://cards.scryfall.io/large/front/2/1/21b040e5-651b-42ca-b487-66cf1d8180f9.jpg?1593095483,奇奥拉的驱散,奇奧拉的驅散,Rejet de Kiora,Kioras Rückruf,Congedo di Kiora,キオーラの放逐,키오라의 일축,Exoneração de Kiora,Отказ Киоры,Destitución de Kiora
Pin to the Earth,"Pin to the Earth	{1}{U}
Enchantment — Aura
Enchant creature
Enchanted creature gets -6/-0.

",https://scryfall.com/card/jou/45/pin-to-the-earth,https://cards.scryfall.io/large/front/c/0/c04e6915-39b0-4fbc-9114-2ecf371b6f72.jpg?1593095491,钉牢在地,釘牢在地,Clouer au sol,Zu Boden drücken,Inchiodare a Terra,大地への縫い止め,땅에 고정시키다,Cravar na Terra,Пришпилить к Земле,Anclar al suelo
Polymorphous Rush,"Polymorphous Rush	{2}{U}
Instant
Strive — This spell costs {1}{U} more to cast for each target beyond the first.
Choose a creature on the battlefield. Any number of target creatures you control each become a copy of that creature until end of turn.

",https://scryfall.com/card/jou/46/polymorphous-rush,https://cards.scryfall.io/large/front/2/f/2ff5f703-339f-430c-b342-77bcc2c63222.jpg?1593095502,幻型涌现,幻型湧現,Ruée polymorphe,Polymorpher Ansturm,Carica dei Polimorfi,変身体の殺到,변이하는 돌진,Corrida Polimórfica,Изменчивый Натиск,Embestida polimórfica
Pull from the Deep,"Pull from the Deep	{2}{U}{U}
Sorcery
Return up to one target instant card and up to one target sorcery card from your graveyard to your hand. Exile Pull from the Deep.

",https://scryfall.com/card/jou/47/pull-from-the-deep,https://cards.scryfall.io/large/front/a/0/a051b622-fa1d-4694-aef7-0fcdd7bff8d2.jpg?1593095509,深海捕捞,深海捕撈,Extraction des profondeurs,Bergung aus der Tiefe,Pescare dagli Abissi,深海からの引き寄せ,심연에서 끌어당기다,Puxar das Profundezas,Вытягивание из Глубин,Extraer de las profundidades
Riptide Chimera,"Riptide Chimera	{2}{U}
Enchantment Creature — Chimera
Flying
At the beginning of your upkeep, return an enchantment you control to its owner's hand.
3/4
",https://scryfall.com/card/jou/48/riptide-chimera,https://cards.scryfall.io/large/front/e/9/e9f88da5-b013-478a-8a0b-da9d1e8eb2c9.jpg?1593095518,急流盖美拉,急流蓋美拉,Chimère du contre-courant,Springflut-Chimäre,Chimera delle Maree,激浪のキマイラ,역조 키메라,Quimera da Rebentação,Химера Разрывного Течения,Quimera de resaca
Rise of Eagles,"Rise of Eagles	{4}{U}{U}
Sorcery
Create two 2/2 blue Bird enchantment creature tokens with flying. Scry 1. (Look at the top card of your library. You may put that card on the bottom.)

",https://scryfall.com/card/jou/49/rise-of-eagles,https://cards.scryfall.io/large/front/c/3/c3b5b278-b883-4703-9bfa-bab5a6da4660.jpg?1593095526,天鹰展翅,天鷹展翅,Ascension des aigles,Aufstieg der Adler,Volo delle Aquile,鷲の飛翔,독수리의 비상,Ascensão das Águias,Вылет Орлов,Ascenso de águilas
Sage of Hours,"Sage of Hours	{1}{U}
Creature — Human Wizard
Heroic — Whenever you cast a spell that targets this creature, put a +1/+1 counter on it.
Remove all +1/+1 counters from this creature: For each five counters removed this way, take an extra turn after this one.
1/1
",https://scryfall.com/card/jou/50/sage-of-hours,https://cards.scryfall.io/large/front/8/c/8cb55caf-fc95-40dc-80af-5144f94333ee.jpg?1593095534,时光智者,時光智者,Sage des heures,Weiser der Zeit,Saggio delle Ore,時の賢者,시간의 현자,Sábio das Horas,Мудрец Времени,Sabio de las horas
Scourge of Fleets,"Scourge of Fleets	{5}{U}{U}
Creature — Kraken
When this creature enters, return each creature your opponents control with toughness X or less to its owner's hand, where X is the number of Islands you control.
6/6
",https://scryfall.com/card/jou/51/scourge-of-fleets,https://cards.scryfall.io/large/front/a/7/a79471f9-5cc0-48f5-9fa4-1f1374993825.jpg?1608912161,船舰祸害,船艦禍害,Fléau des flottes,Geißel der Flotten,Flagello delle Flotte,船団の災い魔,함대의 재앙,Flagelo das Frotas,Бич Кораблей,Azote de las flotas
Sigiled Starfish,"Sigiled Starfish	{1}{U}
Creature — Starfish
{T}: Scry 1. (Look at the top card of your library. You may put that card on the bottom.)
0/3
",https://scryfall.com/card/jou/52/sigiled-starfish,https://cards.scryfall.io/large/front/7/a/7a1a93c3-8561-4c65-bea8-a9c3a898a48c.jpg?1600698677,符印海星,符印海星,Étoile de mer sigillaire,Sigill-Seestern,Stella Marina dei Sigilli,印章持ちのヒトデ,인장박힌 불가사리,Estrela-do-mar Rúnica,Покрытая Рунами Морская Звезда,Estrella de mar con runas
